epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.2723855972290039,18.229549407958984,1e-04,0.35287922620773315,13.72456169128418
1,0.3332946002483368,10.373714447021484,1e-04,0.3374297618865967,8.53972053527832
2,0.366345077753067,5.552493572235107,1e-04,0.3929072916507721,4.002374649047852
3,0.39381611347198486,3.290724992752075,1e-04,0.4216994345188141,2.619154453277588
4,0.40853965282440186,2.3729076385498047,1e-04,0.391853928565979,2.1734795570373535
5,0.43062496185302734,1.9870003461837769,1e-04,0.44171348214149475,1.8571854829788208
6,0.44395366311073303,1.8078489303588867,1e-04,0.3051263988018036,2.385402202606201
7,0.4541826546192169,1.7054105997085571,1e-04,0.46558988094329834,1.66506028175354
8,0.4675113260746002,1.6385542154312134,1e-04,0.45505619049072266,1.7152372598648071
9,0.4839397072792053,1.5831292867660522,1e-04,0.4747191071510315,1.6343872547149658
10,0.4870394170284271,1.5546832084655762,1e-04,0.42134830355644226,1.7365597486495972
11,0.49467238783836365,1.531111717224121,1e-04,0.4627808928489685,2.0280046463012695
12,0.5030415654182434,1.5058484077453613,1e-04,0.5003511309623718,1.483485221862793
13,0.5097446441650391,1.4809401035308838,1e-04,0.4125702381134033,2.234243392944336
14,0.5166414976119995,1.4618576765060425,1e-04,0.49719101190567017,1.5030356645584106
15,0.5230733752250671,1.4502471685409546,1e-04,0.45505619049072266,1.7040764093399048
16,0.5277228951454163,1.4360573291778564,1e-04,0.48946627974510193,1.653028130531311
17,0.529582679271698,1.4293084144592285,1e-04,0.46945226192474365,2.3141629695892334
18,0.5300863981246948,1.4185220003128052,1e-04,0.5056179761886597,1.4697927236557007
19,0.5356271266937256,1.4197161197662354,1e-04,0.49227526783943176,1.6404355764389038
20,0.534735918045044,1.4106690883636475,1e-04,0.36727526783943176,2.7531187534332275
21,0.5451586842536926,1.401003360748291,1e-04,0.3981741666793823,1.6368012428283691
22,0.5435312986373901,1.3884351253509521,1e-04,0.43679773807525635,1.750918984413147
23,0.5463210344314575,1.3829028606414795,1e-04,0.5200140476226807,1.5057052373886108
24,0.5495370030403137,1.379722237586975,1e-04,0.5428370833396912,1.4057700634002686
25,0.5495370030403137,1.374949336051941,1e-04,0.5203651785850525,1.459984302520752
26,0.5543027520179749,1.3701109886169434,1e-04,0.4371488690376282,1.6744588613510132
27,0.5558525919914246,1.3639240264892578,1e-04,0.4926263988018036,1.7843726873397827
28,0.5572862029075623,1.3624122142791748,1e-04,0.5308988690376282,1.4256772994995117
29,0.5601921677589417,1.3516619205474854,1e-04,0.5379213690757751,1.4011558294296265
30,0.5617420077323914,1.3472539186477661,1e-04,0.5059691071510315,1.5449559688568115
